menu_id,restaurant_id,dish_name,category,price_vnd,description,tags,
M001,R001,Salad Chiên,Đồ uống,180000,"Món tuyệt hảo, phù hợp cho tập thể.","gluten-free, popular"
M002,R002,Sushi Sốt Teriyaki,Món chính,120000,"Món đậm đà, phù hợp cho ăn vặt.","gluten-free, savoury"
M003,R003,Bánh mì Truyền Thống,Món chay,80000,"Món đậm đà, phù hợp cho tập thể.","popular, sweet"
M004,R004,Cơm Sốt Teriyaki,Món chay,80000,"Món đặc sắc, phù hợp cho ăn vặt.","vegan-friendly, chef-special"
M005,R005,Phở Hải Sản,Khai vị,120000,"Món thơm ngon, phù hợp cho tập thể.","gluten-free, vegan-friendly"
M006,R006,Pizza Chilli,Ăn vặt,45000,"Món hấp dẫn, phù hợp cho tập thể.","popular, spicy"
M007,R007,Cơm Truyền Thống,Ăn vặt,60000,"Món thơm ngon, phù hợp cho ăn vặt.","chef-special, vegan-friendly"
M008,R008,Salad Sốt Teriyaki,Tráng miệng,80000,"Món tuyệt hảo, phù hợp cho ăn vặt.","sweet, chef-special"
M009,R009,Sushi Chiên,Món chính,60000,"Món đậm đà, phù hợp cho bữa tối.","sweet, spicy"
M010,R010,Pad Thai Bò,Món chính,120000,"Món thơm ngon, phù hợp cho tập thể.","sweet, chef-special"
M011,R011,Salad Chiên,Khai vị,250000,"Món thơm ngon, phù hợp cho ăn vặt.","savoury, sweet"
M012,R012,Phở Bò,Món chay,60000,"Món đậm đà, phù hợp cho bữa trưa.","vegan-friendly, sweet"
M013,R013,Curry Chilli,Khai vị,45000,"Món đậm đà, phù hợp cho ăn vặt.","gluten-free, popular"
M014,R014,Mì Đặc Biệt,Món chay,60000,"Món hấp dẫn, phù hợp cho bữa trưa.","popular, spicy"
M015,R015,Bún Đặc Biệt,Món chính,80000,"Món thơm ngon, phù hợp cho ăn vặt.","spicy, savoury"
M016,R016,Pad Thai Truyền Thống,Đồ uống,120000,"Món tuyệt hảo, phù hợp cho bữa tối.","popular, vegan-friendly"
M017,R017,Ramen Chilli,Món chay,80000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, vegan-friendly"
M018,R018,Bánh mì Gà,Món chính,35000,"Món thơm ngon, phù hợp cho ăn vặt.","chef-special, spicy"
M019,R019,Mì Gà,Món chính,45000,"Món đậm đà, phù hợp cho tập thể.","gluten-free, chef-special"
M020,R020,Sushi Đặc Biệt,Món chính,80000,"Món đặc sắc, phù hợp cho ăn vặt.","chef-special, gluten-free"
M021,R021,Cơm Chiên,Ăn vặt,180000,"Món tuyệt hảo, phù hợp cho bữa tối.","gluten-free, spicy"
M022,R022,Curry Bò,Món chay,45000,"Món thơm ngon, phù hợp cho bữa trưa.","spicy, savoury"
M023,R023,Pizza Chiên,Tráng miệng,120000,"Món đậm đà, phù hợp cho tập thể.","chef-special, sweet"
M024,R024,Sushi Chilli,Tráng miệng,80000,"Món đậm đà, phù hợp cho bữa trưa.","gluten-free, chef-special"
M025,R025,Sushi Đặc Biệt,Khai vị,120000,"Món thơm ngon, phù hợp cho bữa trưa.","popular, chef-special"
M026,R026,Phở Bò,Tráng miệng,120000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, savoury"
M027,R027,Curry Chilli,Khai vị,80000,"Món hấp dẫn, phù hợp cho ăn vặt.","gluten-free, sweet"
M028,R028,Bún Bò,Món chay,180000,"Món hấp dẫn, phù hợp cho tập thể.","sweet, chef-special"
M029,R029,Pad Thai Đặc Biệt,Tráng miệng,250000,"Món đậm đà, phù hợp cho ăn vặt.","sweet, popular"
M030,R030,Sườn nướng Đặc Biệt,Ăn vặt,250000,"Món tuyệt hảo, phù hợp cho tập thể.","gluten-free, spicy"
M031,R031,Gà rán Chilli,Ăn vặt,120000,"Món hấp dẫn, phù hợp cho bữa trưa.","savoury, sweet"
M032,R032,Ramen Chiên,Tráng miệng,45000,"Món hấp dẫn, phù hợp cho bữa trưa.","spicy, chef-special"
M033,R033,Cơm Bò,Món chay,250000,"Món tuyệt hảo, phù hợp cho bữa trưa.","vegan-friendly, gluten-free"
M034,R034,Tteokbokki Gà,Tráng miệng,45000,"Món đậm đà, phù hợp cho bữa tối.","gluten-free, chef-special"
M035,R035,Pizza Chiên,Tráng miệng,120000,"Món hấp dẫn, phù hợp cho tập thể.","savoury, gluten-free"
M036,R036,Sườn nướng Hải Sản,Đồ uống,45000,"Món tuyệt hảo, phù hợp cho bữa tối.","popular, spicy"
M037,R037,Pad Thai Truyền Thống,Món chay,250000,"Món tuyệt hảo, phù hợp cho ăn vặt.","popular, spicy"
M038,R038,Sushi Chilli,Món chính,180000,"Món hấp dẫn, phù hợp cho tập thể.","sweet, popular"
M039,R039,Salad Truyền Thống,Tráng miệng,250000,"Món đặc sắc, phù hợp cho bữa tối.","chef-special, savoury"
M040,R040,Cơm Truyền Thống,Khai vị,80000,"Món đặc sắc, phù hợp cho tập thể.","chef-special, gluten-free"
M041,R041,Pad Thai Bò,Tráng miệng,180000,"Món đậm đà, phù hợp cho bữa tối.","vegan-friendly, popular"
M042,R042,Bún Chilli,Khai vị,250000,"Món tuyệt hảo, phù hợp cho tập thể.","spicy, chef-special"
M043,R043,Tteokbokki Bò,Khai vị,80000,"Món hấp dẫn, phù hợp cho ăn vặt.","sweet, vegan-friendly"
M044,R044,Curry Gà,Món chay,80000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, chef-special"
M045,R045,Cá kho Đặc Biệt,Đồ uống,250000,"Món đậm đà, phù hợp cho bữa tối.","chef-special, popular"
M046,R046,Pizza Gà,Tráng miệng,45000,"Món đậm đà, phù hợp cho bữa trưa.","gluten-free, savoury"
M047,R047,Ramen Đặc Biệt,Khai vị,60000,"Món đặc sắc, phù hợp cho bữa trưa.","sweet, popular"
M048,R048,Mì Hải Sản,Đồ uống,80000,"Món hấp dẫn, phù hợp cho bữa tối.","savoury, popular"
M049,R049,Tteokbokki Truyền Thống,Đồ uống,120000,"Món thơm ngon, phù hợp cho tập thể.","vegan-friendly, savoury"
M050,R050,Curry Chiên,Tráng miệng,80000,"Món đặc sắc, phù hợp cho bữa trưa.","popular, gluten-free"
